text,Ground truth,TextBlob,BERT
"cool game ,would be a lot better if u can control where u want to place some of your special attacks. it should still be automatically used if not manually used. but there should be a manual option available to place and use the attacks once it have been recharged",,,
it's perfect! it's so good I want to keep playing it! it's a little difficult but I always get back up and I always kill the zombies getting perfect runs without getting hit is challenging but honestly it fits it,,,
"Original 3* 10min in. Gameplay ist Fun so far, that is whenever the game figures out how to use the internet. Massive connection issues preventing me from playing 50% of the time Update: Week in or so. Still fun. Still a bit unresponsive when starting application and your internet isn't perfect. During gameplay good enough, even for co-op.",,,
"Good game but there is some good still left on the table. Start with the easy one, change the number value from 1500000 to 1,500,000. Secondly, it is hard to upgrade specific skills during gameplay. I suggest the highest at least be an option and 2 random ones when you finish a level of monsters.",,,
no details given on the core skills before unlocking it and the difficulty on clearing higher level is extremely high unless you reload high amount of money. if you enjoy playing the same stage over a long period of time then the game may suit you,,,
very fun game the play modes are neat it's still just like all the others but I rather enjoy this one more. it could use some added features in the guild definitely need to earn just a lil bit more gold in game. and you need to be able to earn weapons and armors and new skills. and a few items to upgrade them and then just sell the parts to upgrade them for money. make a multiplayer area that is endless and you can earn some type of upgrade materials and make new skills off of teammates skills,,,
This game blows. Total money hole. No skill involved. All luck and no strategy. You will waste weeks on one level. Just because the game won't give you the skills you need to win. Mercenaries are horrible. They don't help at all. I acquired one that hurt me by bringing monsters closer faster. Completely disappointed in this game. Don't waste your time and certainly not your money. This game is pay to play. Choose another game. Spare yourself the frustration.,,,
Adverts never play. Always get an error message. Seeing as watching adds is part of the daily missions and other events I'm missing out on vital rewards. Shop prices are plain greedy but the base game is pretty good.,,,
Interesting game but I don't really have time to play and the levels take too long to play. It would be better if default speed is 1.5 and 2 after you beat the level. I would give 5 stars if you change that.,,,
"Very fun game. Challenging and no ads. My only complaint is the stupid banner that scrolls across your screen, congratulating other players on the server for their chest pulls. I can't think of anything I am less interested in than other players' loot. The banner is constant and annoying. If you remove it, 5 stars.",,,
"So far the game is really fun, it would be nice if the elite levels would give increased rewards compared to now, and double that increase for Solo completion of elite levels. Gold does feel a little grindy to obtain, I usually end up spending what gold I managed to save on upgrades just to survive, which I understand is the whole point, but a solid increase would be great. I look forward for the future of this game and the updates to come.",,,
"it is a great game. It looks like they are building and adding new content. hope they add an endless round. maybe I just haven't unlocked it. Maybe a guild system and be able to request the different upgrade laser/ ice bomb, etc... nice features so far.",,,
way too many material needs. Made explicitly to micro purchase you to death. needs a premium buy on e option to be a real enjoyable game. cool concepts based around bending plays over a barrel and getting into their wallet. just play a console game,,,
"Survivor game, but you just choose skills. No walking around, auto-attack no aiming, no active using skills. You just choose upgrades. Has various equipment, quests, and upgrade options most survivor games have.",,,
"It's an exact copy of Doodle Magic: Wizard Vs Slime but with bigger budget and different aesthetic. I prefer the original design but this studio put a lot of effort. It's fun, needs to spend some money otherwise you can't possibly play. Great work.",,,
Addicting tower defense game! So much to do and so much to level up! My only complaint is I downloaded this due to an ad displaying a Monkey D. Luffy skin. I have seen no mention of this so far and have reached lvl 12. Otherwise a great game to pass time!,,,
this game started fun. then a paywall hit literally. popped up spend 3.99 couldn't exit on click to pay. I exited the game restarted deleted reinstalled nothing fixed the problem goodluck. as I stated I can't do anything in the game I'm blocked by a pay tab that I can't edit from. so I'm unable to click the support.,,,
"I just lost my account forever. I was level 63 and ranked in the top 20. Was number 4 rank for about a week. Now it's all gone. Grinding from day one all for nothing. I got a new phone and tried switching my account over. Accidentally ""binded"" to Google. Now my account is erased. What a massive waste of my time. Rant over",,,
"It's a skin over Doodle Magic. Basically. Zombies are the slimes. Wolves are the rats. Even the weapons act the same way. Not bad, but not original either... Never said I had a bad experience... Nice generic response. You clearly didn't want to be embarrassed or just actually don't pay attention to your reviews. Good to know who I'm dealing with.",,,
"great time killer! UPDATE: Ended up being a typical pay-to-win after lvl 9, doesn't really matter what you do. All weapons feel ineffective. spent 5$ for nothing. I've wasted so much on ""quick patrols"" probably hit that 100000 times, and my weapons still suck? No thanks. un-installed.",,,
"so far I'm enjoying this game very much. but what annoys me is the elite matching, I'm constantly having team mates drop and leave me soloing it, I don't get the torches for finishing it, and they don't get punished in some fashion.",,,
"If you request a refund, you will be banned! It was all good until yesterday spent some money as usual, it didn't work as expected, requested a refund then got banned. To get back my high level account I have to repay the useless item. And all the other purchases were gone. What kind of business these guys are running! They can just say no refund, instead of holding your account as hostage. Uninstalled!",,,
"love this game but can get expensive, do to wanting different players or weapons. shouldn't be so much money for there items for one but love the game. ALSO didn't know about the different server's so can't play with my brother and kids it won't caring over 😞 be careful of sever u choose make sure family is on same one before paying money.",,,
Editing my review down to 1 star just for the terrible balance. As you progress you unlock skills that clog your choices. The skills all suck. You only want gun skills 99% of the time. Gun skills should just occur naturally with the upgrades to the gun and the gun skills should be removed. 5 gun skills are better than all 20 level ups in any skill. Booboo. Boring bad rng gameplay.,,,
honestly I was very skeptical about it was like another typical other shooter game app like every other one on the games store but honestly this one lives up to its advertisement and reputation 5 out of 5 stars but could use a little bit of maintenance on the watch for rewards I have watched two videos and I have not cleaned my rewards but all announced still a 5 out of 5,,,
"it's very similar to the ad except one thing l, there is no one punch man it's just a basic soldier. u run out of energy and can only watch 3 adds so they pretty much force u to pay to play the game. delete after playing 6 hours.",,,
"Great premise let down by rng. Unfortunately, if you don't get the rolls you need within the levels then quite often the level is impossible. No skill needed, just luck with the rolls. Otherwise it's quite an entertaining game to a point.",,,
I really like that the ads for the game are not intrusive. and I love how each new level makes you feel hopeless to start but the more you go at it the better your gear gets and seeing that tipping point every time is kind of a rush.,,,
Its a really fun game and I would of gave it 5 stars but for one reason I put it to 4 stars. The reason is that after playing the game for about more than an hour the game just seems to exit me out of it. Idk if its a bug but if is I hopr it gets fixed.,,,
"The game is full of bugs and won't start without several attempts. I made a purchase, but it was processed several times. I want it all refunded, but the developers aren't responding. I do NOT recommend this garbage.",,,
"Games has good points, no forced ads is also nice but like all games of this type its all about luck of what items come up for you to select and in elite mode i always get a player so far above me that they cause all the damage and its boring for me as i hardly get a shot in",,,
Game is good but could be better. It's not optimized fully so it crashes semi often when there's too many enemies on screen especially during abyss trials so I don't get the full reward.,,,
"this game copied another game, cant remember the name warts and all. it does have better stuff but the ludicrousness of having ur attacks uncontrolled and attacking the furthest enemy when ur gates are attacked is the worst part of the game. moreover many of the skills are useless and this is more like a game of luck than anything.",,,
"Great gameplay, but you need to be able to acquire more stamina so can play more often. Even a free option with reduced rewards. I find myself wanting to play more but being severely limited by the lack of stamina",,,
"This is probably the best TD game i have played. It is easy to learn,and has many quest to help level your character and gun/abilities quickly. I am really enjoying this game. Awesome job Devs,Mods,and anyone else who put time into making such a enjoyable game.",,,
It was good at the start but as you unlock new abilitys it becomes impossible to focus on upgrading one ability in game because a bunch of random upgrades you don't want show up so you just end up with a bunch of random upgrades and no actual power,,,
Slows down after a bit and the grinding starts. Then the frustration from the luck of the draw with the skills you need that you don't get to beat a level. But has me coming back everyday to try my luck lol.,,,
"its a simple game, not difficult to use, easy to understand. you have gear; level up system; upgrades; skins; weapons; and a cool companion with cool utilities. No problems so far",,,
Enjoy this well enough. A bit frustrating that most powers seem to prioritize enemies that i've already killed 90% with the terrible standard gun. Far too much grinding necessary to pass levels.,,,
"All the overlays keep breaking the game. Can't actually play the game, because I get an ad asking me to pay 0.99 for something in game, and the X button to make it go away doesn't work. So, I can't get out of the screen asking me for money.",,,
It's not a bad game so far. If you don't get lucky with gem pulls. I don't really care for the way they force you to pick a skill of something you don't wanna play with. Wish you could choose which 4 skills you wanna play with (within level of course).,,,
Simple and fun. I enjoy it. But quickly devolves into needing real money to progress unless you wait for energy to return. Too many skillss make your choice skills hard toget in combat making leveling up certain skills worthless.,,,
"decent game , needs some polish. as far as I can tell (correct me if I'm wrong) there is no way to access an options menu when you're in a battle. Secondly, the basic gun seems by far the best. Hopefully upcoming patches will improve this. I really appreciate that the ads are optional and not totally in your face.",,,
"The game is fantastic! I didn't give it 5 stars because, if you leave the game mid battle there have been instances where I couldn't not continue the battle. It forces me to quit the match.",,,
It's all fake there's one character with skins and not different characters. Also there's few stamina to play it and you will wait 15 minutes to get 1 stamina and it not enough to play a game because it need you 5 stamina to play . It is all fake ads and game!!,,,
"i was getting through abbys with all the upgrades i want and i was going really far, then the game just decided to error me out. are you scared of people doing well in your game? that you have to use the error bug to stop them from progressing? it doesnt happen when they give useless upgrades",,,
"The latest update has made this game unplayable. The game loads and is stuck on the welcome screen, unable to click off the 'offers window. Using latest OneUI on S23 Ultra. EDIT: Can't contact you through ingame help as it won't load past the welcome screen. Uninstalled.",,,
"Great game. I recommend it. I have only played it for 3 days so far, thats the reason for 4 stars. I will update my review in a few days. Nevermind that. I remove what i said. Lost my whole accnt after changing phone. Lost hundreds of dollars here because of that. Dont play this game.",,,
"it's awesome and addicting, but it's translated poorly in some spots. just a few upgrades I don't understand the full lethality of because of the translation. other than that, solid solid game",,,
"it's fun, but too difficult to get special items. 0.3 percent is ridiculous. 1-3% for the rarest items it's hard enough for other games. let alone you'd have to spend 50 dollars just for 10 chests, at 0.3% that's 1500 Dollars just to get one item!",,,
very entertaining game. great design and easy mechanics. The rewards and leveling up system are both fast and fair( at the moment early on). Early days yet but enjoying it so far.,,,
"There is a ""draft"" ticker that constantly runs, obscuring part of the screen. It just mentions who in the world won whatever ""power-up/item while playing. (and I don't give a damn, it's distracting)",,,
Much fun with several upgrade aspects. Would give it an extra star if they removed that annoying and unnecessary congratulations bar in the middle of the screen while playing.,,,
"Not bad. Gets pretty slow the further you move on, so it may require some grinding of previous levels - Edited. It becomes strictly PTW unless you just enjoy not progressing and playing previous levels over and over",,,
pretty good game lots of grinding. they could make it a little easier to power up horror game levels. it gets pretty tough once you get to a certain point and don't spend money. still it is a good game,,,
"This is one of those game where it's actually really intriguing. In my experience the ads aren't required every 5 mins, but are optional for rewards faster. The game itself is also really well polished, (though the UI can be slow sometimes or it's my A50 Android Galaxy [7 years old]).",,,
"A really enjoyable game. Heavily p2w. You can't farm premium gems without paying. You cannot reroll bad gem affixes without paying. Pay for weapons, skins, guns, mercenaries, drone skins, fort skins etc. everthing is behind a paywall, an expensive pay wall. £100 for a random skin. £100 for a random weapon. Everything is an average of a £100 and random. at these prices items should be chosen. Skip this game. Asian players top up from their private website and get better prices and deals",,,
"Trash game, if you don't get enough gun upgrades. Your run us scrubbed. Thats a waste of 5 stamina out of 30. + The 15 per day if you watch videos. I don't know how this has 1 million plus downloads when theres tons of better games on the market.",,,
"The game has potential, but the interface doesn't make sense. After winning a few levels it becomes impossible to advance further because I become overwhelmed with zombies.",,,
Addictive gameplay. Only new to the game. the Co Op mode is a nice featuee. Not sure if more people can join as you progress levels. that would be pretty cool for challenge modes.,,,
"the energy seems like too many,cannot finished....why don't making like.....10times energy for a single battle. it's ok for me if like this. more challenging because once lose means lose 10 times hahaha",,,
"Updated review: I lost my account when I got a new phone and my old one was out for service. Customer support emailed me and got me back into my account after proving it was mine. Despite early frustrations, they are excellent and this is a great game. Updated to 5 stars.",,,
need an easier way to earn morphs and better gear. trying to lvl up the character in the game gets extremely difficult and makes it hard to enjoy the game. I don't even receive gear when I do elite missions 😑,,,
"Pay to win game, first the skill is random and when you unlock lv10 skill still random and hard to use it , so its useless. 2nd , if you want what skill you want to use.. need to topup so much money.. so its pay 2 win. Bye2 for pay 2 win games like this.",,,
"really good game has great potential, however there is a bug in the game. The lightning strike ability (EM strike) goes further than the range it says it has, idk if it's a bug but this has good potential keep it up thumbs up so far",,,
"Do you want the kind of game that sends out enemies under others so you can't target properly? Have you ever wondered what an autistic monkey with a keyboard could create? Has there been a time in your life when you had too much money and wanted constant ads with no way to exit them? Well, this stinking hulk of flat garbage is exactly what you're looking for. No warning full face ads, regular micro transaction forcing money hungry company product that just lets you down in every way.",,,
"better than expected. this is the only game I play. makes it easier to put down. 😂 but updates and changes don't seem to happen often. IDK if it's my DooDoo phone, but it seems to not respond well to interactions 🤔? YYYEEESSSS INDEED very VERY VERY SOLID RATING.",,,
"Not too many adverts, those that are there are your choice to watch for 30 seconds if you want the small reward. I would say that even thou you don't need to spend money on it, splashing the cash will move you on quicker.",,,
I like the game. Good gameplay. The only thing I would change is the home screen layout. A banner that congratulates players for their achievements is covering the area that tells me what level I'm on.,,,
Challanges??? How come i cant manage single fight with bosses?? They never die. This is too much frustrating... it should be strong for limits... not forever???!! Kindly change this technique... it cant be like that forever or it will be useless and not funny game.,,,
"This game become boring after stuck at same level for more than 1 month, i cannot pass this level because i never get the combo skill i want. Well you need to pay to win for this game, without good item you cannot pass high level stage. Im free player so thats why its hard for me, penat dah main dengan macam2 cara tapi tetap tak lepas stage. Upgrade barang pun susah, nak dapat gem yang kita nak pun susah, drop rate yang sangat rendah membuat kan kita kena farming 1 stage begitu lama. uninstall",,,
"i could swear they purposefully made so that when you reach a level where some zombies have a special weakness (like ice), the option to pick any ice skill attack will never come to you. and sometimes you prioritise the wrong zombie. what a shame",,,
a very enjoyable game. the new features keep you interested in trying to get perfects on each of the levels. I would like some story to go with it.,,,
"losing the stage stamina would make this game more appealing, why would I want to play a game for a limited amount of time before I can play again? I want to be able to enjoy the game at my leisure not for a limited amount of time before I have to wait to play again, just a suggestion 🤷🏻‍♂️",,,
"Would love to see more strategy base option in battle arena, fighting is way too RNG and buying things is only way to progress to catch up levels. Generaly, great animations, good UI and overal gamey is good.",,,
Before i continue my review this is a message for the dev.. pls remove the mobile legend ad bcos the ad will force open the mobile legend game itself and force shut bang bang survivor.. ok here is my review. Game is good but if u are not paying u will lose interest after 2 weeks or a month cos u will stuck in the same stage unable to progress. U'll reach there eventually.. maybe after 4 years. So ask urself is it worth your time? But if you have cash to spare.. then y not?,,,
"Not much instructions on the game. You basically needs to learn things on your own. This somehow really reflects that the Dev lacks interest in the game. Also, poor game balance. P2W in you want to have decent fun.",,,
"You can't go past a point without starting pouring currency in, unfortunately for how much it plays well that's it, understandable but unistalling for the second time, and for good.",,,
fun little tower defense game however the weapon options feel very limited to start unless you purchase some and paytoplay isn't my vibe. other than that though it's a decent little game to pass some time.,,,
"Gameplay is mediocre at best, everything is $$$ optimized to a point that you can only get diamond from clearing stages without losing HP which taking days and hundreds of stamina and 50 diamond from daily quest, and daily quest only consist of 7 quest with no weekly quest or achievement.. Its not worth my time..",,,
The concept is fun and intriguing and it's a unique take on IO games but you'll struggle to progress as a person that's tried all features I have to say I'm a little disappointed I've bought loads and I've been stuck on the same level for about a week I contacted support for help but took them 7 hours to reply and within 2 hours of recieving that reply they closed my case without giving me time to respond it's pay to win and support is extremely rude id suggest another IO game imo,,,
"pretty good, just gets VERY grindy. The game will be great at some point, but it's still early and it's too hard because 90% of skills are useless at the moment.",,,
Absolutely garbage game! I spend hundreds of stamind to pass a stage?! I rarely get the right skills to be able to beat the stage?! all of this is just to force you into spending real money.. they're just trying to steal your money.. the game is where it belongs right in the trashcan,,,
"The game is a good distraction but needs more information or guidance/tutorial. As with most games like this, there is a strong push to spend money to upgrade and advance.",,,
Cant play with the new update ? What's up ?,,,
Gameplay is a little on the slow side. The graphics and performance are fine. The power ups are interesting. I don't understand why we can't play offline during a normal session.,,,
"not a bad game at all, time consuming. feels as though it's missing something though and the start-out grind is slow. other than that it's worth the download.",,,
Glutton boss. Comes every day. Right before I die and get points for my attempt. Screen freeze attempt is gone 0 points. Feels like a fun game. Boss levels suck. Just a waste of time,,,
"It's the same defender game but this time with zombies You hit a wall where you can't progress after a few hours, so spend some money to progress or wait for energy to grind the level over and over You know what my decision was? Uninstalling of course",,,
"Pretty nice game, without unnecessary commercials and stuff. Yes, there are some, but not intrusive ones, and certainly not mandatory. The game itself is well ballanced.",,,
"my only complaint is there's very little energy, vasicly you can play 6 rounds then your waiting for energy to play again, but a fun game. I'm glad there's no 10-minute tutorial that forces you to do things.",,,
"Really fun auto tower defense. Different weapon combos open up fun interactions. The only bad point is that it tempts you to spend $ everywhere. Otherwise, it's just a load of fun.",,,
"A reskin of Doodle Magic but I enjoy this better. Recommended. Devs: Get rid of the stupid announcement that runs across the top of the screen and block my view. I couldn't care less about ppl I don't know winning a level or whatever. Also, Gun may be OP.",,,
"Forced ads that won't close. Sucky game play. Almost have to pay to win lol 2 took 3 weeks to get past, for me anyway. Little to no instructions on how to play or use interface.",,,
"This is not a game, more like powerpoint presentation where you sit, watch and when the level is done choose an upgrade. What a waste of time",,,
When u first start playing the game it's super fun but as u get closer to like level 30 and 40 I've been on level like 38 forb2bdays and still cant get past level 20 idk but more rewards would really help dont have a whole lota money to spend so please try and make something possible please,,,
"Really fun game, and you get enough free / easily earnable stamina to play quite a bit. Other reviews complaints about so much of the game being locked behind paywalls is accurate. Still fun to play though.",,,
"Not a bad game. Would be 5 stars except... -1 star for being buggy and not responding to touch input. -1 star for that unbelievably annoying scrolling marquee that tells you what other random players ha e won. We don't care. No one cares. Fire whoever came up with the idea, then fire everyone who let it happen.",,,
"So far, it's been a lot of fun. Just a general time waster, but the progression has been smooth so far without the massive pay walls you see on a lot of other games of this genre",,,
pretty early on but so far really enjoy it the ads are t too bad or invasive and only $5 to get rid of them is great gameplay is fun and engaging as well if it keeps being this awesome ill likely go to 5 stars but like i said i am early on,,,
The game is great and needs a few tweaks to upgrades as well as a tutorial or the ability to manually pick targets but other than that I'm really enjoying it!,,,
Pretty fun game although it takes a very long time to unlock the fort and other things no typical of other games so -1 star for that but the skills are cool but would like to know how to get other skins.,,,
Always showing server full,,,
great game u can play it and do other things at the same time would like to see more communication options in multi-player the default 3 options aren't that great but good game 2 sink some idle time into,,,
If you like how rng feel like play this game you will feel that it all luck base on the skill if you do not pick the right skill out the bat you will lose 100% no matter what you do like that the main problem I have with it but other then that the game is ok but you be doing a lot of waiting to get powerful or pay money to speed up this there no between it if you ok with that play it if not move on to a better game,,,
"Great game, grinding doesn't feel like grinding. I Wish I could give more than 9 instances of stamina to my friends though. Also revamp the friends list so most active are at the top.",,,
"Pretty sweet so far. Like the upgrade style during game play. The character upgrade is cool, really like the gem inlay and upgrading. Haven't ran into any other play modes.",,,
"fun game, but the only thing I would say is that the enemies get good really quickly, and the gifts and rewards system will treat you like a noob, even when you're like, level sixty.",,,
"Highly Entertaining. Shame the adverts don't play, it restricts daily challenge completion. Maybe a simple fix is to remove the quest from daily.",,,
Would give 5 stars if only have quick play (instant finish game) to quickly diminishes the stamina. Have too many stamina but don't want to waste time on clicking to every map/level...,,,
Awesome game with good gameplay. You need to do good grinding to obtain stuff and purchases aren't necessary but can be helpful. Overall a well put together game.,,,
Very fun game but the service is poor. I can't finish events right now because of a bug in the game and it's been a week with no end in sight and no real communication. The hours I spent on the events were fruitless.,,,
Definitely love this game I play it everyday I built up a strong winning team of characters in I would recommend this to anybody,,,
"This company are spam, they steal my diamonds value $50 overnight. Slow customer service! Customer service try to avoid their mistake. Never refund my diamonds. Never want to spend anymore in this game. ADVICE DONT SPEND SINGLE PENNY WITH THEM!",,,
Hard to upgrade skill to the level i wanted. Super frustrating.,,,
always have network issues makes gameplay experience extremely poor.,,,
Scammers. This is a copy from the Chinese games and they have doubled the cost of diamonds on all events.,,,
"Lost all my data, countless hours of play. Do not recommend",,,
As described. Lacking guidance. There are things out there it just leaves you to just figure out.,,,
Disappointed and bad handling of your customer service. I paid for this game quite alot and I got myself at a quite level within 2 weeks of my playtime. Only 1 time I paid for the wrong purchase and I ask for refund thru apple store and I got it refunded. Thanks Apple. But I was banned by the game developer. I was told by their customer service that I had to pay for my wrong purchase or they will banned me till I pay for my wrong purchases. Look at my purchase history. I made so many purchases,,,
fun game mechanic and progression. viewing ads is not required and is not heavily forced on the player. at least not in the early stages that I've seen.,,,
Not really interesting. The grind is tough and despite making multiple upgrades to my gun the stats does not show. There is also no story to the game. The upside is you earn diamonds quite quickly.,,,
"id give it six stars if you had more options in the shop and stuff when you first start the game. but it's an awesome relaxing and fun game. I think this is the only game or app I've ever actually written a review for, so it must count for something",,,
"Sooooooooooooooooooooo boring! No loot, the only thing you get is gems to socket in gear. 1st level takes forever, approximately 20 minutes. After that, it takes forever to level up. Not worth my time.",,,
I like the game. Yet it's difficult to unlock levels without leveling up the character. Leading to repetitive chipping at replaying levels over and over. Or spend cash.,,,
Not much to say. Very good concept but pay to win unless you plan on playing for ever. Mechanics are extremely controlled and not at all skill based. Similar to raid shadow legends and all other skill less paid to win games,,,
"It Is a decent game but it is heavily a game of pay to win, even more so than most other mobile games, leveling and gearing up is so horrendously slow and boring without spending money.",,,
"Don't even want to try this game for the simple fact that one of your Ads on tiktok has literally ripped off the game ""That's not my neighbour"" (all they have done is changed one of the people to some anime girl but the numbers the D.D.D is the same lmao) before getting into what the game actually is just to gain more downloads.",,,
your little bot companion seems to target the area without any enemies most of the time. A way to get your companion to focus fire would make the game significantly better,,,
It was fun but I lost all my progress. Would give less stars after loss of progress as I had spent money. They unable or will to fix. No refund. Feels like a scam company,,,
"so far, it's a great and simple game! no forced ads and an excellent and clean ui as well as an equipment system that doesn't require 20 steps just to put new gear on",,,
game is okay. but it will always give you the wrong skills so that you can't win. and progress is super slow at hight lvl. p2w element is manageable.,,,
I think having the option to refresh more than once during a fight is important. feels like the choices aren't random in some matches.,,,
"pretty neat so far, will update later. having fun for now. too bad only 30 days for 5.99 for ad free. much rather pay 10 or maybe even 15 or 20 for full ad free plus some goodies every update or from time to time.",,,
A lot of the abilities unlocked feel weak and take up space to help one lose. Maybe you'll get lucky and upgrade the gun enough to win.,,,
"It's pretty good so far. No forced ads as of yet. And hasn't bombarded me with pop-ups. Pretty much, click to start and let it roll until you choose your upgrades. 👍",,,
"Played it for an hour, I couldn't progress without either paying money or keep losing at the same level until I can improve my gear enough to win. Not my kind of play style",,,
"So far, so good. Don't really mind the slow progression of skills/equipment, etc. Still on level 2, will see how things go.",,,
"It's not a bad game, but I saw an advert showing you could use Luffy? He's not in the game. I've lost my account because it automatically gives you a guest account. Uninstall then reinstall=account gone.",,,
it's fun but the adds are annoying as is in any free game tho but I like it I play when it's slow at work and it's very interesting it's not easy if u don't pay attention and if u pay to win u may be better off but I didn't.,,,
"A simple game basically. A tower defense where you're standing behind a wall and defending that wall from waves of monsters. decent amount of strategy, I recommend this game.",,,
Too many sub skills to pick from during a run. Some should be made as upgrades. Equipment upgrades are slow and clunky and not noticeable during game.,,,
"Fun, game plays it's self, but you choose skills during match. Out of match there's the customization process. Overall it's a relaxed, but fun game",,,
"Good game but if i log in my account on different device, even using link or email, my progress doesnt carry over to the other device. How do i fix it? -resolved by Devs. Must choose same server. Didnt notice that. Thank you!!",,,
it's a wonderful game but unfortunately when the ability work normally it shoots at a target which usually the nearest one but when the target dies with the rifle the ability shoots at the same spot which go away for no one I hope you will fix it,,,
really really enjoy the challenge of trying to figure out the right skills and strengths of skills to use on each level. Awesome tower shooter!!! if that's what it is,,,
the grind is real with this game. replay the same mission a lot of time to get very few resources which leads to some minor 0.0001% upgrade. rinse and repeat.,,,
"earlier game cant even stand with ton of enemy.skill really needed to improve.high hp & tons of enemy really need luck to get what skill ,but always bad lucks.getting useless skill cant even kill an enemy at early stage.",,,
"Highly RIGGED GAME!! Once you get to stage 5? You'll have to PAY TO WIN!! Or repeat levels 1-4 a hundred times and level. They're greedy about awards, too!! So if you want to waste time and get ripped off, this is the boring RIGGED GAME for you!!",,,
"I wish games would stop being a cash grab. This game has a lot of potential, but the server stalls out, and you run out of stamina quickly..... the gifts should be gifts, not real money used to get it.",,,
Interface bugs out on pixel 8 after logging in. This prevents me from starting the game unless I enable airplane mode. The reason for this is it prevents the popup ad for in-game purchases.,,,
"game is fun, but a real grind, especially the normal stages. I understand nightmare mode being hard, but kind of ridiculous for the normal stages. especially early on.",,,
the refresh function needs to be fixed. I shouldn't get the same 3 options when I refresh them. I suggest adding a code that temporarily removes the refreshed options from the draw pool until next level.,,,
"Im going to report this game. Progression is purely based on Bullet upgrades because support skills are not strong enough to progress so if your RNG code doesnt give out Bullet upgrade then you cant progress & from what I can see your RNG is programmed to not give bullet upgrades. I presume if I paid you money the RNG % would swing in my favour. Your game is busted,you cant have progression be so reliant on one upgrade type & program your RNG to have an ultra low chance of getting that upgrade.",,,
I think there should be a way to get energy back faster or at least be able to have a skill that makes it to where you can get more back. also same thing with diamonds. overall good game,,,
"Too many power ups, makes it dumb that you can get 98% on one level, replay, and fail the next. Needs to be a preferred power option. Really makes this game unenjoyable to just waste STM for 3 days on 1 level.",,,
Game stopped reacting after the second game. Load screen fine but no reaction from touch screen. Phone is fine in every other aspect. A shame since I paid for a couple of things in the game,,,
"the game is just the right amount of strategy and casual fun! the UI lags a bit, but aside from that, I love that there are 0 ads forced on you. get a 5 star just for that.",,,
"Could do better if the equipments gems have different types. Icons is a bit too small to spot sometimes. Overall, games kinda alright fun.",,,
"nice game, fast progression, just takes thought and planning for upgrades. Quick little $1 purchased unlocked a ton of bonuses and game became even more enjoyable. Definitely recommend.",,,
"very well done game. Some perk choices are much stronger than others and some balances need to be made but, for a fun, not to complex, roguelike game, it's really good.",,,
Bad this said that it had a luffy skin and it doesn't only ask about foreskins maybe six and terrible artwork very pixely super bad storyline bad reasoning we just get put into a thing with zombies and we're fighting just straight into the game you go into the game and you just are fighting zombies no storyline just like hey robot let's go fight some zombies,,,
"playing for a week. seems like a lot of stuff to do at later levels. no pay wall yet. fun and easy game to learn, harder to master.",,,
there's a scrolling message of people winning things from chests that scrolls across the screen which gets in the way of menu items and is impossible to turn off or move.,,,
This is pay to win when you have passes that can be bought with dimonds but no repeatable quests to earn dimonds and there are many other things wrong with this game and i know you all have my last review still and when i see people in stage 50 when this game has only been out for close to or a little over 2 weeks it is a pay to win game and dont even get ne started on you gifts codes because those codes gifts are an insult to the player,,,
Kudos to devs for compensating for lost connections w/o player prompting. I did a late night grind fell asleep woke up to a msg rewarding me for loss connection planned or not. Nice surprise! 👍,,,
So far the game is great. The only problem I've had so far is in the middle of a round. The text disappears so I have no clue what skill level up I'm picking.,,,
Fun game with lots of customisation. Levels become progressively more difficult and there is a co-op mode for grinding gear.,,,
"My only real issue is that when the enemy freezes, my laser stays on them. they should be untargetable until the freeze is over.",,,
buggy when starting sometimes I have to restart it multiple times. however playing is fun! cute graphics and easy game play!,,,
it is good tight now. not to many adds and it is fun to play. but it would be nice if the naruto gameplay what is in the ad for this game will be true and available easily . but it is just a fake ad.,,,
I really like the game and that the game gets you to play for hours with out even knowing it it's like addicted but that's what the game needs cuz other games play it for like 20 minutes and your done that why I like this game cuz of its action keep up the work thank you for making this happen from triston,,,
Stupid money hunger games. Too depends on luck for skill choices and need top up a lot to get better gear. Manual control on shooting is delay and suck !!,,,
"Amazing tower defense game! At first, the pacing seems a little slow, but then things start to get interesting with weapon/skills upgrades!",,,
Watched an ad that showed a really fun looking tech tree... Got into the game. No tech tree. There is also loads of micro transactions in the game. Do not recommend,,,
"Very bad experience, being continuous recharged for 2 days. The next day, account gone and couldn't find the progress anywhere.",,,
Always online gatcha game. Bad version of vampire survival or magic survival. It's one of very few games where you get worse the more you level up.,,,
It's a farming game. Progress takes time and repeating quests is required. After the 6/17/24 update I can't connect due to the version check error,,,
"I see no reason to continue playing this game beyond the first level if I am forced to start over from scratch. What's the point? There is none, once you complete the first level it's basically just repeating the same thing again",,,
"seems ok, takes a very long time to unlock anything interesting. also best build seems to be normal attack always, making other skills more annoying than fun to get",,,
"No real feel of the progress. You just get stuck on initial maps that look identical, and repeat them again and again for little bit of gems.",,,
"Loses connection a lot but restores quickly, the didn't even notice a lot of the stores placements and not sure I've found all of them lol, good game otherwise",,,
Nice grind game with idle and active playstyles. Server feature is a nice way to highlight your acomplishments vs other players who started playing arround when you did.,,,
"The game is alright, but please make it offline. I don't think games like this should be just online games, since all you do is kill a horde of monsters. Good game though.👍",,,
